freq_Hz,SPL_probe_center_dB
10.0,57.94205719733878
15.0,54.43236232421289
20.0,51.95208698184245
25.0,50.03845774591676
30.0,48.485335342989075
35.0,47.18275314185966
40.0,46.0650648037116
45.0,45.089919472214035
50.0,44.22839020064322
55.0,43.45983112126774
60.0,42.7689801737755
65.0,42.14422342653124
70.0,41.57650177857001
75.0,41.05859226221127
80.0,40.584617098328984
85.0,40.149695496531066
90.0,39.74968630058286
95.0,39.3809877331031
100.0,39.040370186641546
105.0,38.72482219024392
110.0,38.431389202168575
115.0,38.15697871236154
120.0,37.898089394667146
125.0,37.65038667185924
130.0,37.407966174295915
135.0,37.161948659006796
140.0,36.89751449399852
145.0,36.586826340170624
150.0,36.169082636201594
155.0,35.47820724478661
160.0,33.82848651620734
165.0,15.390253116951225
170.0,45.03100770152061
175.0,40.38958725659675
180.0,39.330423615669055
185.0,38.88908502642158
190.0,38.67855284790216
195.0,38.58680504637499
200.0,38.56953632490641
205.0,38.6059288379662
210.0,38.685145946134256
215.0,38.801235847367586
220.0,38.950917025468115
225.0,39.132516700467555
230.0,39.345427833454536
235.0,39.58982308299478
240.0,39.8665082748158
245.0,40.176859748641064
250.0,40.52281910357379
255.0,40.906934247157174
260.0,41.33244523037834
265.0,41.80342100271547
270.0,42.324961400475814
275.0,42.90348972715984
280.0,43.5471784924018
285.0,44.26658006063958
290.0,45.07558661073455
295.0,45.99294442770254
300.0,47.04475236693146
305.0,48.268823572471504
310.0,49.7228702603236
315.0,51.501399834094165
320.0,53.775532882115755
325.0,56.90749825010681
330.0,61.916063013016
335.0,75.29517192413473
340.0,66.7152870548909
345.0,59.19507767655904
350.0,55.22148845662617
355.0,52.50645499227506
360.0,50.44522520625737
365.0,48.786646157629534
370.0,47.401938621806295
375.0,46.2161539276956
380.0,45.18176750885954
385.0,44.26669989564885
390.0,43.44822826983561
395.0,42.70961837069845
400.0,42.03813299290104
405.0,41.42378761154173
410.0,40.858533816788416
415.0,40.3356972285403
420.0,39.84956957703547
425.0,39.39509249892477
430.0,38.96758996359086
435.0,38.56251446351398
440.0,38.17517172383524
445.0,37.80037875300873
450.0,37.43198521767232
455.0,37.06213458729218
460.0,36.680025451468595
465.0,36.26966754179818
470.0,35.805464181175466
475.0,35.24260277598169
480.0,34.49322036094581
485.0,33.35499566788535
490.0,31.21911869064001
495.0,24.634940303371184
500.0,31.63187705414756
505.0,66.76720494063456
510.0,46.03343102513761
515.0,42.679240502307096
520.0,41.27861596151817
525.0,40.52631682084653
530.0,40.08109986796861
535.0,39.811920340112444
540.0,39.65746164519856
545.0,39.585315307526756
550.0,39.576928605607506
555.0,39.62112897546487
560.0,39.711018650954216
565.0,39.84236287254138
570.0,40.01270484684784
575.0,40.220863102475235
580.0,40.46664519406235
585.0,40.750693707476586
590.0,41.07442136099571
595.0,41.44001427179192
600.0,41.85049630814453
605.0,42.30985802850373
610.0,42.82326429521874
615.0,43.39736827274706
620.0,44.04078032377409
625.0,44.764775572906274
630.0,45.58438811983776
635.0,46.5201645306482
640.0,47.60110822271476
645.0,48.86992935805318
650.0,50.39316484791182
655.0,52.282839887519394
660.0,54.75025873659113
665.0,58.27432373180098
670.0,64.41493627914822
675.0,92.59858601540756
680.0,63.68894772796729
685.0,57.79566606058388
690.0,54.30171974899836
695.0,51.80923072208533
700.0,49.87134963374784
705.0,48.28715920494224
710.0,46.94880326806428
715.0,45.79154837701043
720.0,44.773396884771955
725.0,43.865466074618816
730.0,43.04695258536263
735.0,42.302280035467625
740.0,41.61937635932823
745.0,40.98857356512142
750.0,40.40186601839839
755.0,39.85237987831589
760.0,39.33396470279416
765.0,38.84084741918979
770.0,38.36730128885548
775.0,37.90728273802212
780.0,37.45397637126504
785.0,36.99915670663393
790.0,36.5322072249831
795.0,36.038491951708174
800.0,35.49644685417085
805.0,34.87195513254428
810.0,34.10637247740659
815.0,33.08757795191484
820.0,31.565826105721413
825.0,28.8212061520479
830.0,20.95834084033595
835.0,26.40365331446731
840.0,41.21686419566381
845.0,79.64556840107602
850.0,48.706220578261465
855.0,44.76019615421685
860.0,42.9617166135159
865.0,41.93353263588002
870.0,41.28610902723304
875.0,40.861815427945174
880.0,40.583941613888285
885.0,40.41062062639291
890.0,40.317179050778655
895.0,40.28830556815813
900.0,40.31419578733426
905.0,40.38850369977101
910.0,40.50719026300584
915.0,40.667851352334324
920.0,40.86931928778054
925.0,41.11143130157407
930.0,41.39490823867064
935.0,41.721313967992195
940.0,42.09308242901896
945.0,42.51361097622911
950.0,42.98742932306056
955.0,43.52046589317904
960.0,44.12045137745261
965.0,44.79752869773662
970.0,45.56519078447995
975.0,46.441766638373075
980.0,47.45287701635222
985.0,48.63572035776627
990.0,50.04710307025518
995.0,51.779972104131346
